,User,Date,Tweet Text,Tweets Ago,Positive,Negative,Neutral,Compound
481,The New York Times,Sun Dec 24 22:05:03 +0000 2017,Every Who down in Whoville liked Christmas a lot / But their toys were all purchased and resold by a bot https://t.co/BIQUbibbRq,82,0.135,0.865,0.0,0.4215
482,The New York Times,Sun Dec 24 22:00:11 +0000 2017,And read how New York Times journalists were able to document this experience without climbing the mountain: https://t.co/wpy7wIc0HW,83,0.0,1.0,0.0,0.0
483,The New York Times,Sun Dec 24 21:59:29 +0000 2017,Read the full story here: https://t.co/CuFZWN5diK,84,0.0,1.0,0.0,0.0
484,The New York Times,Sun Dec 24 21:58:39 +0000 2017,"""These men undoubtedly did not want to die, but this was an opportunity to be more than someone who made a few hund… https://t.co/iX4AVZVY2k",85,0.215,0.744,0.041,0.687
485,The New York Times,Sun Dec 24 21:57:17 +0000 2017,"Another reader said it was a ""heart-rending and inspiring story of indomitable human spirit,"" and that we all take… https://t.co/Xrm4FLdVPb",86,0.135,0.865,0.0,0.4215
486,The New York Times,Sun Dec 24 21:55:50 +0000 2017,"Readers debated what motivated climbers to attempt such a feat. One considered climbing Mount Everest an ""egotistic… https://t.co/ryYxmv6Xbz",87,0.158,0.842,0.0,0.4588
487,The New York Times,Sun Dec 24 21:54:52 +0000 2017,"In today's paper, a 16-page special section documents the vivid and solemn journey to recover the bodies of those w… https://t.co/RLFPku9TWI",88,0.123,0.818,0.059,0.34
488,The New York Times,Sun Dec 24 21:45:09 +0000 2017,Every generation had its must-have toys. Here are some stories behind them. https://t.co/fwvHO4h51F,89,0.0,1.0,0.0,0.0
489,The New York Times,Sun Dec 24 21:30:06 +0000 2017,"He's 83. She's 80. They were traveling with 60 pounds of marijuana, which they said was intended for Christmas gift… https://t.co/bvcWNEBICl",90,0.0,1.0,0.0,0.0
490,The New York Times,Sun Dec 24 21:15:05 +0000 2017,"The demolition of schools for migrant children has driven 15,000 students out of their classrooms https://t.co/iBdm2kvVGJ",91,0.0,1.0,0.0,0.0
491,The New York Times,Sun Dec 24 21:00:11 +0000 2017,"Navigation apps like Waze are bringing bumper-to-bumper traffic to quiet neighborhoods, forcing towns to grapple wi… https://t.co/dKMhrLrxEi",92,0.135,0.865,0.0,0.3612
492,The New York Times,Sun Dec 24 20:45:10 +0000 2017,"In the wake of extraordinary turnout among black voters, questions remain about the role and impact of voting restr… https://t.co/JQaMQxy1iF",93,0.0,1.0,0.0,0.0
493,The New York Times,Sun Dec 24 20:30:13 +0000 2017,"The actor Billy Crudup explains how he becomes 19 characters in David Cale’s play “Harry Clarke"" https://t.co/sWdbTHBpKZ",94,0.13,0.87,0.0,0.34
494,The New York Times,Sun Dec 24 20:15:12 +0000 2017,Watch: A blind Syrian refugee finds his way in New York #Daily360 https://t.co/DVcbARbguH https://t.co/uhq5qhvOoY,95,0.0,0.816,0.184,-0.4019
495,The New York Times,Sun Dec 24 20:00:11 +0000 2017,"“All the Money in the World,"" starring Christopher Plummer (replacing Kevin Spacey), is a critic's pick https://t.co/4TJJfYen9x",96,0.0,1.0,0.0,0.0
496,The New York Times,Sun Dec 24 19:45:05 +0000 2017,A New York Times investigation has found 4 settlements involving allegations of sexual harassment or defamation aga… https://t.co/Yd8nQKTSTr,97,0.0,0.811,0.189,-0.5423
497,The New York Times,Sun Dec 24 19:30:10 +0000 2017,"“Within the male-dominated Vatican, to give such a prominent role to a woman was very good news"" https://t.co/VodqcjwCyt",98,0.282,0.718,0.0,0.6697
498,The New York Times,Sun Dec 24 19:15:12 +0000 2017,The latest campaign of gang rape against the Rohingya has been so brutal and systematic that a UN representative ca… https://t.co/U0vLd2QNjw,99,0.0,0.644,0.356,-0.8988
499,The New York Times,Sun Dec 24 19:00:22 +0000 2017,"Whatever kind of Christmas Eve you want, it’s probably on television tonight https://t.co/UqcLVGWQlV",100,0.098,0.902,0.0,0.0772
